layouts/layout3/layout3_7agents_416.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_417.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_418.txt, 147, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_419.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_42.txt, 98, 0.0, Distributed
layouts/layout3/layout3_7agents_420.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_421.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_422.txt, 189, 0.0, Distributed
layouts/layout3/layout3_7agents_423.txt, 168, 0.0, Distributed
layouts/layout3/layout3_7agents_424.txt, 217, 0.0, Distributed
layouts/layout3/layout3_7agents_425.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_426.txt, 147, 0.0, Distributed
layouts/layout3/layout3_7agents_427.txt, 161, 0.0, Distributed
layouts/layout3/layout3_7agents_428.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_429.txt, 175, 0.0, Distributed
layouts/layout3/layout3_7agents_43.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_430.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_431.txt, 210, 0.0, Distributed
layouts/layout3/layout3_7agents_432.txt, 112, 0.0, Distributed
layouts/layout3/layout3_7agents_433.txt, 126, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_434.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_435.txt, 182, 3.0994415283203125e-06, Distributed
layouts/layout3/layout3_7agents_436.txt, 133, 0.0, Distributed
layouts/layout3/layout3_7agents_437.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_438.txt, 196, 0.0, Distributed
layouts/layout3/layout3_7agents_439.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_44.txt, 168, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_440.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_441.txt, 189, 0.0, Distributed
layouts/layout3/layout3_7agents_442.txt, 252, 0.0, Distributed
layouts/layout3/layout3_7agents_443.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_444.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_445.txt, 84, 0.0, Distributed
layouts/layout3/layout3_7agents_446.txt, 147, 0.0, Distributed
layouts/layout3/layout3_7agents_447.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_448.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_449.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_45.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_450.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_451.txt, 147, 0.0, Distributed
layouts/layout3/layout3_7agents_452.txt, 98, 0.0, Distributed
layouts/layout3/layout3_7agents_453.txt, 266, 7.152557373046875e-07, Distributed
